item_slug,lang,title,description
inkless_pads,nl,Inktloze afdrukset voor handjes en voetjes,Set om hand- en voetafdrukken van Cleo schoon vast te leggen zonder klassieke inkt.
inkless_pads,ca,Kit d’empremtes sense tinta per a mans i peus,"Set per captar les empremtes de les mans i dels peus de la Cleo de manera neta, sense tinta clàssica."
inkless_pads,en,Inkless hand and footprint kit,"Set to capture Cleo's handprints and footprints cleanly, without traditional ink."
inkless_pads,es,Kit de huellas sin tinta para manos y pies,"Set para captar las huellas de manos y pies de Cleo de forma limpia, sin tinta clásica."
activity_spiral,nl,Activiteitenspiraal voor pasgeborenen,"Zachte activiteitenspiraal voor onderweg, met speelelementen die grijpen en ontdekken stimuleren."
activity_spiral,ca,Espiral d’activitats per a nounats,"Espiral d’activitats suau per portar, amb elements de joc que estimulen l’agafada i el descobriment."
activity_spiral,en,Activity spiral for newborns,"Soft activity spiral for on the go, with play elements that encourage grasping and discovery."
activity_spiral,es,Espiral de actividades para recién nacidos,"Espiral de actividades suave para llevar, con elementos de juego que estimulan el agarre y el descubrimiento."
first_bites_set,nl,Startersset voor eerste hapjes,"Complete startersset voor de eerste hapjes, met meerdere eetaccessoires in één pakket."
first_bites_set,ca,Set inicial per a les primeres menjades,"Set inicial complet per a les primeres menjades, amb diversos accessoris d’alimentació en un sol paquet."
first_bites_set,en,Starter set for first bites,"Complete starter set for first bites, with multiple feeding accessories in one package."
first_bites_set,es,Set inicial para las primeras comidas,"Set inicial completo para las primeras comidas, con varios accesorios de alimentación en un solo paquete."
silicon_table_set,nl,Siliconen tafelset,Siliconen onderlegger die morsen helpt opvangen en de tafel beter beschermt tijdens het eten. Voor Vic of Cleo.
silicon_table_set,ca,Set de taula de silicona,Estovalles individuals de silicona que ajuden a recollir vessaments i protegeixen millor la taula durant els àpats. Per a en Vic o la Cleo.
silicon_table_set,en,Silicone table set,Silicone placemat that helps catch spills and protects the table better during meals. For Vic or Cleo.
silicon_table_set,es,Set de mesa de silicona,Mantel individual de silicona que ayuda a recoger derrames y protege mejor la mesa durante las comidas. Para Vic o Cleo.
beachtoys,nl,Siliconen strandspeelset,Siliconen strandspeelset met emmer en vormpjes voor water en zand.
beachtoys,ca,Set de joguines de platja de silicona,Set de joguines de platja de silicona amb galleda i motlles per a l’aigua i la sorra.
beachtoys,en,Silicone beach toy set,Silicone beach toy set with bucket and molds for water and sand.
beachtoys,es,Set de juguetes de playa de silicona,Set de juguetes de playa de silicona con cubo y moldes para agua y arena.
activityboard,nl,Houten activiteitenbord,Houten ontdekspeelgoed met verschillende elementen om voelen en fijne motoriek te oefenen.
activityboard,ca,Tauler d’activitats de fusta,Joguina de descoberta de fusta amb diferents elements per explorar el tacte i practicar la motricitat fina.
activityboard,en,Wooden activity board,Wooden discovery toy with different elements to explore touch and practice fine motor skills.
activityboard,es,Tablero de actividades de madera,Juguete de descubrimiento de madera con distintos elementos para explorar el tacto y practicar la motricidad fina.
sun_hat,nl,Babyzonnehoedje,Licht babyzonnehoedje met extra bescherming achteraan en striklintjes voor een betere pasvorm.
sun_hat,ca,Barret de sol per a nadó,Barret de sol lleuger per a nadó amb protecció extra a la part del darrere i cintes per a un millor ajust.
sun_hat,en,Baby sun hat,Light baby sun hat with extra protection at the back and tie straps for a better fit.
sun_hat,es,Sombrero de sol para bebé,Sombrero de sol ligero para bebé con protección extra en la parte trasera y cintas para un mejor ajuste.
teething_ring_figures,nl,Bijtring met figuurtjes,Bijtspeeltje dat bedoeld is om gevoelig tandvlees te helpen verzachten tijdens het doorkomen van tandjes.
teething_ring_figures,ca,Mossegador amb figuretes,Mossegador pensat per ajudar a alleujar les genives sensibles durant la sortida de les dents.
teething_ring_figures,en,Teething ring with figures,Teething toy designed to help soothe sensitive gums while teeth are coming through.
teething_ring_figures,es,Mordedor con figuritas,Mordedor pensado para ayudar a aliviar las encías sensibles durante la salida de los dientes.
tower_8,nl,Stapelbekers,8 stapelbekers als educatief speelgoed.
tower_8,ca,Gots apilables,Set de 8 gots apilables com a joguina educativa.
tower_8,en,Stacking cups,Set of 8 stacking cups as educational toy.
tower_8,es,Vasos apilables,Set de 8 vasos apilables como juguete educativo.
